0.09,0.58,1.03,1.38,2.24,3.75,4.71,5.74,5.8,8.47,10.91,10.93,13.19,14.73,17.12
0.15,0.38,0.85,1.29,2.13,3.05,3.76,5.22,5.95,7.58,9.34,10.49,12.05,13.92,15.92
0.19,0.46,1.28,1.41,2.26,3.1,4.55,5.11,6.38,7.28,8.33,11.8,12.25,14.08,16.52
0.03,0.48,0.93,1.67,2.03,3.33,4.48,5.36,6.47,7.27,8.67,10.07,12.14,13.36,15.08
0.09,0.32,1.06,1.96,2.22,2.86,3.86,5.01,5.44,6.25,7.67,9.12,10,11.16,12.03
0.14,0.5,1.12,1.86,2.47,2.78,3.48,4.53,5.4,6.21,7.31,9.23,10.06,11.18,13.03
0.24,0.62,1.01,1.82,2.83,3.57,3.95,4.4,5.11,5.59,8,9.67,10.35,11.43,13.07
0.1,0.65,1.13,1.87,2.74,4.13,5,5.7,5.67,7.65,7.96,9.44,10.97,11.85,13.46
0.04,0.58,1.05,1.8,2.32,3.62,4.81,5.81,5.83,5.99,7.73,9.04,9.62,10.7,11.51
0.16,0.5,1.18,1.85,2.46,2.94,4.54,5.45,6.33,6.1,8.43,8.08,9.85,10.75,12.23
0.06,0.51,1.2,1.75,2.63,3.37,4.39,5.53,6.6,7.69,8.73,11.62,11.95,13.82,17.23
0.04,0.46,1.12,1.79,2.53,3.37,4.49,5.78,6.7,7.73,9.16,10.5,12.27,13.65,15.2
0.18,0.53,1.38,1.94,2.61,3.3,4.56,5.82,6.62,7.4,9.27,10.39,11.62,13.02,14.69
0.2,0.54,1.27,2.05,2.62,3.43,4.83,5.83,6.99,8.29,7.56,9.73,10.89,12.04,13.2
0.1,0.75,1.22,2.03,2.93,4,5.56,6.63,7.36,8.67,9.2,9.4,11.3,12.48,14.17
0.08,0.43,1.15,2.16,2.68,3.53,4.51,5.37,6.82,8.81,9.75,10,11.7,13.3,15.35
0.32,0.49,1.02,1.5,2.3,2.91,4.4,5.35,6.33,6.95,8.09,9.89,10.67,12.15,13.41
0.64,0.73,1.01,1.38,1.83,2.44,3.25,4.94,6.32,7.58,8.24,9.22,11.19,12.65,15.04
0.37,0.57,1.05,1.36,1.81,2.54,3.49,4.59,6.52,7.16,9.2,10.16,11.88,13.77,16.51
0.14,0.38,0.94,1.56,1.99,2.86,3.74,4.71,6.02,7.61,8.31,8.62,10.49,11.89,12.87
0.08,0.26,0.82,1.4,2.06,2.9,3.93,5.1,5.76,7.24,8.75,9.46,10.62,12.34,14.62
0.07,0.4,0.75,1.31,2,2.91,3.84,4.93,5.94,6.89,8.25,9.32,10.63,12.13,13.76
0.19,0.24,0.77,1.29,2.12,2.85,3.88,4.88,5.84,6.85,7.92,8.89,10.25,11.62,13.18
0.1,0.41,0.84,1.39,1.98,3.01,3.88,5.22,6.05,6.91,8.14,9.51,10.68,12.15,14.21
0.14,0.29,0.72,1.29,1.87,2.64,3.68,5.03,6.42,7.14,8.21,9.17,10.96,12.42,14.37
0.07,0.36,0.75,1.15,1.88,2.74,3.87,4.9,6.47,7.54,8.85,9.71,11.4,13.14,15.54
0.16,0.31,0.85,1.29,1.89,3.06,4.46,5.18,6.32,7.89,8.83,9.71,11.34,12.96,14.74
0.2,0.47,0.84,1.31,1.78,2.95,4.21,5.56,6.5,7.46,8.67,9.4,10.95,12.51,14.2
0.12,0.55,0.96,1.3,1.83,2.91,4,5.02,6.13,7.45,8.64,9.06,10.66,12.19,13.91
0.16,0.39,0.94,1.43,1.83,2.76,3.9,4.9,6.09,7.2,8.06,9.72,10.75,12.39,14.4
0.05,0.39,0.86,1.48,2.08,2.88,4.05,5.37,6.18,7.79,8.65,9.81,11.54,13.06,15.31
0.15,0.31,0.81,1.28,2.1,3.07,3.9,5.07,6.48,7.29,9.01,10.07,11.67,13.34,15.49
0.56,0.42,0.77,1.18,1.93,2.85,4.03,4.98,6.52,7.96,8.74,11.18,12.66,14.61,17.69
0.12,0.33,0.81,1.38,2.11,3.26,4.13,5.3,6.51,7.51,8.82,10.18,11.95,13.48,15.03
0.13,0.33,0.61,1.16,2.01,3.15,4.48,5.64,6.69,8.39,9.39,10.61,12.64,14.39,17.26
0.18,0.37,0.85,1.33,2.1,2.96,4.17,5.16,6.29,8.16,9.56,10.61,12.58,14.48,16.07
